num_filmes,num_categorias,runtime_guloso,runtime_aleatorizado,amount_of_films_guloso,amount_of_films_aleatorizado,screen_time_aleatorio,screen_time_guloso
10000000,16,9.56781554222107,10.427445650100708,23,11,23.0,23.0
10000000,2,6.98354959487915,7.099456310272217,2,2,6.0,2.0
10000000,32,9.810080528259276,10.71019434928894,23,11,23.0,23.0
10000000,4,8.211357355117798,7.686642408370972,8,8,17.0,8.0
10000000,64,11.032710313796995,12.172804594039915,23,12,23.0,23.0
10000000,8,9.483344554901125,9.755097150802612,23,12,23.0,23.0
1000000,16,1.0735955238342283,1.1709372997283936,23,13,23.0,23.0
1000000,2,0.8222289085388184,0.8206639289855957,3,3,12.0,3.0
1000000,32,1.1438748836517334,1.221122980117798,23,12,23.0,23.0
1000000,4,0.8798248767852783,0.8504745960235596,11,11,23.0,11.0
1000000,64,1.179914474487305,1.2947595119476318,23,12,23.0,23.0
1000000,8,1.0853087902069092,1.152024269104004,23,13,23.0,23.0
100000,16,0.3264436721801758,0.3314576148986816,23,11,23.0,23.0
100000,2,0.3102073669433594,0.2967076301574707,4,4,11.0,4.0
100000,32,0.3209896087646484,0.3436324596405029,23,11,23.0,23.0
100000,4,0.2942495346069336,0.3050801753997803,12,12,20.0,12.0
100000,64,0.3361434936523437,0.3387868404388428,23,11,23.0,23.0
100000,8,0.3219566345214844,0.3296830654144287,23,9,23.0,23.0
10000,16,0.2231526374816894,0.2579896450042724,23,12,23.0,23.0
10000,2,0.2412645816802978,0.253303050994873,2,2,4.0,2.0
10000,32,0.2574024200439453,0.2738411426544189,23,13,23.0,23.0
10000,4,0.2724390029907226,0.2418668270111084,11,10,23.0,11.0
10000,64,0.2413666248321533,0.2707030773162842,23,12,23.0,23.0
10000,8,0.2596604824066162,0.266082763671875,23,14,23.0,23.0
1000,16,0.2535264492034912,0.2515041828155517,22,10,23.0,23.0
1000,2,0.2252452373504638,0.2421669960021972,2,2,3.0,3.0
1000,32,0.2273406982421875,0.249723196029663,22,14,23.0,22.0
1000,4,0.2502224445343017,0.3100340366363525,13,10,22.0,15.0
1000,64,0.27435302734375,0.253530740737915,23,13,23.0,23.0
1000,8,0.2449913024902343,0.2615625858306885,22,10,23.0,23.0
100,16,0.2459173202514648,0.2438979148864746,12,11,22.0,21.0
100,2,0.2538678646087646,0.2453384399414062,3,3,5.0,5.0
100,32,0.2464900016784668,0.2472960948944091,12,10,20.0,18.0
100,4,0.2487349510192871,0.2478086948394775,10,8,18.0,17.0
100,64,0.2354648113250732,0.2432842254638672,10,8,17.0,23.0
100,8,0.2488760948181152,0.2559337615966797,11,10,21.0,21.0
